"","Row.names","alpha_diversity","SampleID","ID","Time","Diet","Injury","Group"
"41","Martens-41-HFD27-3",3.91234358723479,"Martens-41-HFD27-3",27,"D3","LFD","TBI","LFD TBI"
"42","Martens-42-HFD29-3",4.52306366078228,"Martens-42-HFD29-3",29,"D3","LFD","Sham","LFD Sham"
"43","Martens-43-HFD32-3",4.09450744956982,"Martens-43-HFD32-3",32,"D3","LFD","Sham","LFD Sham"
"44","Martens-44-HFD35-3",3.70782383500837,"Martens-44-HFD35-3",35,"D3","HFD","TBI","HFD TBI"
"45","Martens-45-HFD36-3",3.5288997823813,"Martens-45-HFD36-3",36,"D3","HFD","TBI","HFD TBI"
"46","Martens-46-HFD37-3",4.02842160482134,"Martens-46-HFD37-3",37,"D3","LFD","Sham","LFD Sham"
"47","Martens-47-HFD39-3",4.0639725768035,"Martens-47-HFD39-3",39,"D3","LFD","Sham","LFD Sham"
"48","Martens-48-HFD40-3",3.47404749737527,"Martens-48-HFD40-3",40,"D3","LFD","TBI","LFD TBI"
"49","Martens-49-HFD2-30",3.91145357826927,"Martens-49-HFD2-30",2,"D30","HFD","TBI","HFD TBI"
"50","Martens-50-HFD3-30",4.19239981409759,"Martens-50-HFD3-30",3,"D30","HFD","Sham","HFD Sham"
"51","Martens-51-HFD5-30",4.10243911706747,"Martens-51-HFD5-30",5,"D30","HFD","Sham","HFD Sham"
"52","Martens-52-HFD6-30",4.18279003485454,"Martens-52-HFD6-30",6,"D30","HFD","TBI","HFD TBI"
"53","Martens-53-HFD7-30",4.20173801636733,"Martens-53-HFD7-30",7,"D30","HFD","Sham","HFD Sham"
"54","Martens-54-HFD8-30",4.54931024931353,"Martens-54-HFD8-30",8,"D30","HFD","TBI","HFD TBI"
"55","Martens-55-HFD9-30",4.68179375876618,"Martens-55-HFD9-30",9,"D30","LFD","TBI","LFD TBI"
"56","Martens-56-HFD10-30",4.68722090964624,"Martens-56-HFD10-30",10,"D30","LFD","TBI","LFD TBI"
"57","Martens-57-HFD12-30",4.55464270776063,"Martens-57-HFD12-30",12,"D30","LFD","Sham","LFD Sham"
"58","Martens-58-HFD13-30",4.50393986865316,"Martens-58-HFD13-30",13,"D30","LFD","Sham","LFD Sham"
"59","Martens-59-HFD16-30",4.10585798665651,"Martens-59-HFD16-30",16,"D30","LFD","TBI","LFD TBI"
"60","Martens-60-HFD20-30",4.46437453354817,"Martens-60-HFD20-30",20,"D30","HFD","Sham","HFD Sham"
"61","Martens-61-HFD21-30",4.1416417110464,"Martens-61-HFD21-30",21,"D30","HFD","Sham","HFD Sham"
"62","Martens-62-HFD22-30",3.92500259437219,"Martens-62-HFD22-30",22,"D30","HFD","TBI","HFD TBI"
"63","Martens-63-HFD23-30",3.94045936408871,"Martens-63-HFD23-30",23,"D30","HFD","Sham","HFD Sham"
"64","Martens-64-HFD26-30",4.41347443393982,"Martens-64-HFD26-30",26,"D30","LFD","TBI","LFD TBI"
"65","Martens-65-HFD27-30",4.73149105592393,"Martens-65-HFD27-30",27,"D30","LFD","TBI","LFD TBI"
"66","Martens-66-HFD29-30",4.84891743762391,"Martens-66-HFD29-30",29,"D30","LFD","Sham","LFD Sham"
"67","Martens-67-HFD32-30",4.5946446515962,"Martens-67-HFD32-30",32,"D30","LFD","Sham","LFD Sham"
"68","Martens-68-HFD35-30",4.01973818490601,"Martens-68-HFD35-30",35,"D30","HFD","TBI","HFD TBI"
"69","Martens-69-HFD36-30",3.93649809455541,"Martens-69-HFD36-30",36,"D30","HFD","TBI","HFD TBI"
"70","Martens-70-HFD37-30",4.50783688375652,"Martens-70-HFD37-30",37,"D30","LFD","Sham","LFD Sham"
"71","Martens-71-HFD39-30",4.00359573759094,"Martens-71-HFD39-30",39,"D30","LFD","Sham","LFD Sham"
"72","Martens-72-HFD40-30",3.98120751374293,"Martens-72-HFD40-30",40,"D30","LFD","TBI","LFD TBI"
"73","Martens-73-HFD2-60",4.28936175430665,"Martens-73-HFD2-60",2,"D60","HFD","TBI","HFD TBI"
"74","Martens-74-HFD3-60",4.23096207942015,"Martens-74-HFD3-60",3,"D60","HFD","Sham","HFD Sham"
"75","Martens-75-HFD5-60",4.27252234144566,"Martens-75-HFD5-60",5,"D60","HFD","Sham","HFD Sham"
"76","Martens-76-HFD6-60",4.1545988471141,"Martens-76-HFD6-60",6,"D60","HFD","TBI","HFD TBI"
"77","Martens-77-HFD7-60",4.22050165141776,"Martens-77-HFD7-60",7,"D60","HFD","Sham","HFD Sham"
"78","Martens-78-HFD8-60",4.600156848561,"Martens-78-HFD8-60",8,"D60","HFD","TBI","HFD TBI"
"79","Martens-79-HFD9-60",4.59478273554746,"Martens-79-HFD9-60",9,"D60","LFD","TBI","LFD TBI"
"80","Martens-80-HFD10-60",4.16861294298945,"Martens-80-HFD10-60",10,"D60","LFD","TBI","LFD TBI"
"81","Martens-81-HFD12-60",4.55418126253465,"Martens-81-HFD12-60",12,"D60","LFD","Sham","LFD Sham"
"82","Martens-82-HFD13-60",4.31196582048695,"Martens-82-HFD13-60",13,"D60","LFD","Sham","LFD Sham"
"83","Martens-83-HFD16-60",3.74534425924216,"Martens-83-HFD16-60",16,"D60","LFD","TBI","LFD TBI"
"84","Martens-84-HFD20-60",4.29341325413398,"Martens-84-HFD20-60",20,"D60","HFD","Sham","HFD Sham"
"85","Martens-85-HFD21-60",4.18074337704361,"Martens-85-HFD21-60",21,"D60","HFD","Sham","HFD Sham"
"86","Martens-86-HFD22-60",4.23596281107523,"Martens-86-HFD22-60",22,"D60","HFD","TBI","HFD TBI"
"87","Martens-87-HFD23-60",4.17321431132178,"Martens-87-HFD23-60",23,"D60","HFD","Sham","HFD Sham"
"88","Martens-88-HFD26-60",4.39715211489957,"Martens-88-HFD26-60",26,"D60","LFD","TBI","LFD TBI"
"89","Martens-89-HFD27-60",4.31613954847181,"Martens-89-HFD27-60",27,"D60","LFD","TBI","LFD TBI"
"90","Martens-90-HFD29-60",4.26524291685017,"Martens-90-HFD29-60",29,"D60","LFD","Sham","LFD Sham"
"91","Martens-91-HFD32-60",4.44028052607217,"Martens-91-HFD32-60",32,"D60","LFD","Sham","LFD Sham"
"92","Martens-92-HFD35-60",3.74548316374782,"Martens-92-HFD35-60",35,"D60","HFD","TBI","HFD TBI"
"93","Martens-93-HFD36-60",3.95282899145118,"Martens-93-HFD36-60",36,"D60","HFD","TBI","HFD TBI"
"94","Martens-94-HFD37-60",4.60802005471781,"Martens-94-HFD37-60",37,"D60","LFD","Sham","LFD Sham"
"95","Martens-95-HFD39-60",4.20633552627146,"Martens-95-HFD39-60",39,"D60","LFD","Sham","LFD Sham"
"96","Martens-96-HFD40-60",4.05349948313466,"Martens-96-HFD40-60",40,"D60","LFD","TBI","LFD TBI"
